"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Sarcini programate) - timpul este măsurat în minute"
"Daily","Zilnic"
"Failure history lifetime","Istoric complet de nereuşite"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pentru URL-uri generate corect în timpul rulării cronurilor, vă rugăm să vă asiguraţi că 'Web' > 'URL-uri principale normale si securizate' sunt setate explicit."
"Generate schedules every","Generează programări la fiecare"
"History cleanup every","Curăţă istoric la fiecare"
"Invalid callback: %s::%s does not exist","Acţiune ulterioară incorectă: %s::%s nu există"
"Invalid model/method definition, expecting ""model/class::method"".","Definiţie model/metoda invalidă, se aşteaptă ""model/class::method""."
"Missed if not run within","Pierdut dacă nu este rulat în cadrul"
"Monthly","Lunar"
"No callbacks found","Nu au fost găsite acţiuni ulterioare"
"Schedule ahead for","Programează în avans pentru"
"Success history lifetime","Istoric complet de reuşite"
"Too late for the schedule","Prea târziu pentru programare"
"Unable to save Cron expression","Expresia din cron nu a putut fi salvată"
"Unknown error","Eroare necunoscută"
"Weekly","Săptămânal"
