"* Required Fields","* Câmpuri obligatorii"
"A new password was sent","O nouă parolă a fost trimisă"
"Account Dashboard","Cont pentru tabloul de comandă"
"Account Information","Informaţii cont"
"Account Sharing Options","Opţiuni sharing cont"
"Account information was successfully saved","Informaţiile contului a fost salvat"
"Action","Acţiune"
"Add New Address","Adaugă adresă nouă"
"Add New Customer","Adaugă client nou"
"Add New Customer Group","Adaugă un nou grup de clienţi"
"Added From","Adaugat de la"
"Additional Address Entries","Adrese adiţionale"
"Address","Adresă"
"Address Book","Agendă"
"Address Information","Informaţii adresă"
"Addresses","Adrese"
"Admin","Admin"
"All","Tot"
"All Store Views","Toate vizualizările magazinului"
"All countries","Toate ţările"
"Always optional","Mereu opţional"
"Amount","Cantitate"
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Sigur vreţi să ştergeţi acest produs?"
"Are you sure you want to cancel adding of this address?","Sigur vreţi să anulaţi adăugarea acestei adrese?"
"Are you sure you want to delete this address?","Sigur vreţi să ştergeţi această adresă?"
"Are you sure?","Sunteţi sigur?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Stabileşte un grup de clienţi"
"Average Sale","Vânzare medie"
"Back","Înapoi"
"Back to Login","Înapoi la autentificare"
"Bad request.","Cerere eronată."
"Bill to Name","Facturare pe nume"
"Billing Information","Informaţii facturare"
"Bought From","Cumpărat de la"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în magazinul nostru veţi putea să plătiţi mai uşor), salva mai multe adrese de livrare, vedea şi urmări comenzile şi multe altele."
"CSV","CSV"
"Can\'t save address","Adresa nu poate fi salvată"
"Can\'t save customer","Clientul nu poate fi salvat"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Conturile clienţilor nu pot fi publicate global. Unele conturi ale clienţilor există cu acelaşi email pe mai multe website-uri şi nu pot fuziona."
"Cancel","Anulare"
"Change Account Password","Schimbă parola contului"
"Change Billing Address","Schimbă adresa de facturare"
"Change Password","Schimbă parola"
"Change Shipping Address","Schimbă adresa de livrare"
"City","Oraş"
"Company","Companie"
"Config","Config"
"Confirm New Password","Confirmare parolă nouă"
"Confirm Password","Confirmare parolă"
"Confirmation Link Email","Confirmare link email"
"Confirmed","Confirmat"
