"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Exemplu: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b>, unde &lt;user_action&gt; este 'execută' sau 'continuă', funcţie de textul pe care il doriţi pentru butonul de execuţie."
"API Password","Parolă API"
"API Signature","Semnătură API"
"API User Name","Nume utilizator API"
"Amex","Amex"
"Authorization","Autorizare"
"Authorize and Capture","Autorizare şi captură"
"Billing Information","Informaţii facturare"
"Business Account","Cont companie"
"Business Name","Nume companie"
"Card Verification Number","Număr de verificare al cardului"
"Change Payment Method","Schimbă metoda de plată"
"Change Shipping Address","Schimbă adresa de livrare"
"Credit Card Number","Număr card de credit"
"Credit Card Number: xxxx-%s","Număr card de credit: xxxx-%s"
"Credit Card Type","Tip card de credit"
"Credit Card Type: %s","Tip card de credit: %s"
"Credit Card Types","Tipuri carduri de credit"
"Customer returned from PayPal site.","Client revenit de pe site-ul Paypal."
"Debug Flag","Reper depanare"
"Discover","Descoperă"
"Edit Shopping Cart","Editează coş de cumpărături"
"Enabled","Activat"
"Error in creating an invoice","Eroare în crearea facturii"
"Error in refunding the payment","Eroare în rambursarea plăţii"
"Expiration Date","Data expirării"
"Expiration Date: %s/%s","Data expirării: %s/%s"
"Incl. Tax","Inclusiv taxe"
"Invalid transaction id","ID tranzacţie incorect"
"Invoice #%s created","Factura #%s creată"
"Issue Number","Număr emitere"
"Items in Your Shopping Cart","Produse în coş"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Dimensiunea maximă a imaginii este de 750x90 px."
"N/A","N/A"
"Name on Card","Numele de pe card"
"Name on the Card: %s","Numele de pe card: %s"
"New order status","Situaţie comandă nouă"
"No shipping method required.","Nu este necesară nicio metodă de livrare"
"Order","Comandă"
"Order total amount does not match paypal gross total amount","Totalul comenzii nu se potriveşte cu totalul brut PayPal"
"Page Style","Stil pagină"
"PayPal Accounts","Conturi PayPal"
"PayPal Email","PayPal email"
"PayPal Express Checkout","Plată expres PayPal"
"PayPal Uk Account","Cont PayPal UK"
"PayPal Website Payments Pro - Direct Payments","PayPal website plăţi pro - plaţi directe"
"PayPal Website Payments Standard","Plăţi standard PayPal"
"Payment Action","Acţiune plată"
"Payment Method","Metodă de plată"
"Payment from Specific countries","Plată din ţări specifice"
"Payment from applicable countries","Plată din ţări aplicabile"
"Paypal Checkout","Plată PayPal"
"Paypal IPN Invalid %s.","IPN PayPal incorect %s."
"Paypal Logo Image URL","URL imagine pentru logo Paypal"
"Paypal URL","Paypal URL"
"Place an Order","Comandaţi"
"Please select a shipping method...","Alegeţi o metodă de livrare..."
"Please select a valid shipping method","Alegeţi o metodă validă de livrare"
"Price","Preţ"
"Problem during communication with PayPal","Problemă în timpul comunicării cu PayPal"
"Product Name","Nume produs"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Cantitate"
"Received IPN verification","Verificarea IPN a fost primită"
"Review Order","Revizualizare comandă"
"Sale","Vânzare"
"Sandbox Flag","Steag Sandbox"
"Selected currency code (","Alegere cod monedă ("
"Shipping Address","Adresă de livrare"
"Shipping Information","Informaţii livrare"
"Shipping Method","Metodă de livrare"
"Sorry, no quotes are available for this order at this time.","Ne pare rău, nu sunt disponibile menţiuni pentru această comandă în acest moment."
"Sort order","Ordine sortare"
"Start Date","Data de start"
"Submitting order information...","Trimitere informaţii comandă..."
"Subtotal","Subtotal"
"Switch/Solo Only","Switch sau Solo"
"Switch/Solo card issue number: %s","Switch/Solo număr de emitere card: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo dată de emitere card: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","A fost o eroare în timpul procesării plăţii. Încercaţi mai târziu sau contactaţi-ne pentru ajutor."
"There was an error connecting to the Paypal server: %s","A fost o eroare în timpul comunicării cu serverul PayPal: %s"
"There was an error during communication with Paypal: %s - %s","A fost o eroare în timpul comunicării cu PayPal: %s - %s"
"Title","Titlu"
"Transaction Type","Tip tranzacţie"
"Type","Tip"
"Unknown PayPal API error: %s","Eroare necunoscută PayPal API: %s"
"Update Shipping Method","Actualizare metodă de livrare"
"Use Proxy","Foloseşte Proxy"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Plăţi Pro website şi plată express (Semnătură API)"
"Website Payments Standard","Website plăţi standard"
"What is this?","Ce este asta?"
"You will be redirected to Paypal in a few seconds.","Veţi fi redirecţionat spre PayPal în câteva secunde."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Adresa de facturare va fi ignorată şi veţi fi redirecţionat spre site-ul PayPal UK"
