"Add Recipient","Adaugă destinatar"
"Allow for Guests","Permite pentru vizitatori neînregistraţi"
"Email Address","Adresă de email"
"Email Address:","Adresă de email:"
"Email templates","Şabloane de email"
"Email to a Friend","Trimite prin email unui prieten"
"Email:","Email:"
"Enabled","Activat"
"Limit Sending By","Limitare trimitere cu"
"Link to a friend was sent.","Legătura a fost trimisă prietenului"
"Max Products Sent in 1 Hour","Maxim de produse trimise într-o oră"
"Max Recipients","Maxim de destinatari"
"Maximum %d email addresses allowed.","Maxim %d de adrese de email permise."
"Message:","Mesaj:"
"Name","Nume"
"Name:","Nume:"
"Recipient:","Destinatar:"
"Remove Email","Şterge email"
"Select email template","Alege şablon email"
"Send email","Trimite email"
"Send product to a friend","Trimise produsul unui prieten"
"Sender:","Expeditor:"
"Some emails was not sent","Unele emailuri nu au fost trimise"
"Some problems with data.","Probleme cu datele."
"You cannot email this product to a friend","Nu puteţi trimite acest produs unui prieten"
"You cannot send more than %d times in an hour","Nu poţi trimite de mai mult de %d ori într-o oră"
