" for more information or email us at "," pentru mai multe informaţii sau trimiteţi un email la "
"# of Items (and above)","# de produse (şi mai multe)"
"# of Items vs. Destination","# de produse versus destinaţie"
"Allow Shipping to multiple addresses","Permite livrarea către mai multe adrese"
"Calculate Handling Fee","Calculează taxa de manipulare"
"Carrier:","Curier:"
"City","Oraş"
"Close Window","Închide fereastra"
"Condition","Condiţie"
"Country","Ţara"
"Date","Data"
"Delivered on:","Livrat în data de:"
"Delivered to:","Livrat către:"
"Description","Descriere"
"Displayed Error Message","Mesaj de eroare afişat"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Rând duplicat #%s (Ţara ""%s"", Regiune/Judeţ ""%s"", Zip ""%s"" şi Valoarea ""%s"")"
"Enabled","Activat"
"Error:","Eroare:"
"Export","Exportă"
"Fixed","Rezolvat"
"Flat Rate","Preţ fix"
"Free Shipping","Livrare gratuită"
"Handling Fee","Taxă de manipulare"
"Import","Importă"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","Invalid %s ""%s"" în rândul #%s"
"Invalid Country ""%s"" in the Row #%s","Ţara incorectă ""%s"" în rândul #%s"
"Invalid Region/State ""%s"" in the Row #%s","Regiune/Judeţ incorect ""%s"" în rândul #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Preţ de livrare incorect ""%s"" în rândul #%s"
"Invalid Table Rate code for type %s: %s","Codul costului din tabel este incorect pentru tipul %s: %s"
"Invalid Table Rate code type: %s","Tipul codului aferent costului din tabel este incorect: %s"
"Invalid Table Rates File Format","Formatul fişierului cu tabelul costurilor este incorect"
"Local Time","Ora locală"
"Location","Locaţie"
"Maximum qty allowed for Shipping to multiple addresses","Cantitatea maximă permisă pentru livrare către mai multe adrese"
"Method name","Nume metodă"
"Minimum order amount","Cantitatea minimă ce poate fi comandată"
"N/A","N/A"
"None","Nimic"
"Options","Opţiuni"
"Order Subtotal (and above)","Subtotal comandă (şi mai sus)"
"Origin","Origine"
"Per Order","Per comandă"
"Per Package","Per pachet"
"Percent","Procent"
"Price","Preţ"
"Price vs. Destination","Preţ versus destinaţie"
"Region/State","Regiune/Judeţ"
"Service Type:","Tip serviciu:"
"Ship to Specific countries","Livrare în anumite ţări"
"Ship to applicable countries","Livrare în ţările incluse"
"Shipment #","Livrare #"
"Shipped or billed on:","Livrat sau facturat pe:"
"Shipping Methods","Metode de livrare"
"Shipping Methods Section","Secţiunea metode de livrare"
"Shipping Settings","Setări de livrare"
"Shipping Settings Section","Secţiunea setări de livrare"
"Show method if not applicable","Arată metoda dacă nu este aplicabilă"
"Signed by:","Semnat de:"
"Sort order","Ordinea sortării"
"Status:","Situaţie:"
"Store Pickup","Livrare la magazin"
"Table rates","Tabele costuri"
"The shipping module is not available for selected delivery country","Modulul livrare nu este disponibil pentru ţara aleasă ca destinaţie"
"There is no tracking available for this shipment.","Nu există urmărire disponibilă pentru această livrare."
"There is no tracking available.","Urmărirea nu este disponibilă."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Metoda de livrare nu este disponibilă momentan. Dacă doriţi să folosiţi această metodă de livrare, vă rugăm să ne contactaţi."
"Title","Titlu"
"Track:","Urmărire:"
"Tracking Number:","Număr de urmărire:"
"Tracking information is currently not available. Please ","Informaţia de urmărire nu este disponibilă momentan. Va rugăm "
"Tracking information is currently unavailable.","Informaţia de urmărire nu este disponibilă momentan."
"Type","Tip"
"Weight (and above)","Greutate (şi mai sus)"
"Weight vs. Destination","Greautate vs. destinaţie"
"Weight:","Greutate:"
"ZIP/Postal Code","Cod poştal"
"contact us","contactaţi-ne"
