"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a fost adăugat cu succes în lista de dorinţe. Click <a href=""%2$s"">aici</a> pentru a continua cumpărăturile"
"%s's Wishlist","Lista de dorinţe a %s"
"* Required Fields","* Câmpuri obligatorii"
"Add All to Cart","Adaugă totul în coş"
"Add to Cart","Adaugă în coş"
"Add to Wishlist","Adaugă în lista de dorinţe"
"Added On","Adăugat în"
"Are You sure?","Sunteţi sigur?"
"Are you sure you want to remove this product from your wishlist?","Sigur vreţi să ştergeţi acest produs din lista de dorinţe?"
"Are you sure you would like to remove this item from the wishlist?","Sigur vreţi să ştergeţi acest produs din lista de dorinţe?"
"Back","Înapoi"
"Can\'t save description %s","Descrierea %s nu poate fi salvată"
"Cannot create wishlist","Lista de dorinţe nu poate fi creată"
"Cannot specify product","Produsul nu poate fi specificat"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bifaţi aici dacă doriţi să adăugaţi un link spre un feed rss cu lista de dorinţe."
"Comment","Comentariu"
"Email Sender","Expeditor email"
"Email Template","Şablon email"
"Email address can\'t be empty.","Adresa de email trebuie introdusă."
"Email addresses, separated by commas","Adresele de email, separate prin virgulă"
"Enabled","Activat(ă)"
"General Options","Opţiuni generale"
"Go to Wishlist","Către lista de dorinţe"
"Last Added Items","Ultimele produse adăugate"
"Message","Mesaj"
"My Wishlist","Lista mea de dorinţe"
"My Wishlist (%d item)","Lista mea de dorinţe (%d produs)"
"My Wishlist (%d items)","Lista mea de dorinţe (%d produse)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introduceţi adrese corecte de email, separate prin virgule. De exemplu ionescu@domeniu.com, radu@domeniu.com."
"Please, enter your comments...","Vă rugăm, scrieţi comentariile d-voastră..."
"Product","Produs"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS către lista de dorinţe a %s"
"Remove Item","Şterge produs"
"Share Wishlist","Publicare listă de dorinţe"
"Share Your Wishlist","Publicaţi lista d-voastră de dorinţe"
"Share options","Opţiuni de publicare"
"Sharing Information","Informaţii de publicare"
"There was an error while adding item to wishlist.","A apărut o eroare în timp ce adăugam produsul în listă."
"There was an error while adding item to wishlist: %s","A apărut o eroare în timp ce adăugam produsul în listă: %s"
"There was an error while deleting item from wishlist.","A apărut o eroare în timp ce ştergeam produsul din listă."
"There was an error while deleting item from wishlist: %s","A apărut o eroare în timp ce ştergeam produsul din listă: %s"
"This product(s) is currently out of stock:","Acest(e) produs(e) nu se află în stoc momentan:"
"Update Wishlist","Actualizare listă de dorinţe"
"View Product","Vezi produs"
"Wishlist","Lista de dorinţe"
"Wishlist Section","Secţiunea listă de dorinţe"
"Wishlist Sharing","Publicare listă de dorinţe"
"Wishlist is empty now.","Lista de dorinţe este acum goală."
"You have no items in your wishlist.","Nu aveţi niciun produs în lista de dorinţe."
"You input not valid email address.","Adresa de email introdusă nu este corectă."
"Your Wishlist was successfully shared","Lista d-voastră de dorinţe a fost publicată cu succes"
