"Expire at: %s","Går ut: %s"
"Save and Continue Edit","Spara och fortsätt ändra"
"Category","Kategori"
"An error occurred while deleting the rule. Please review the log and try again.","Ett fel uppstod när regeln togs bort. Vänligen se över loggen och försök igen."
"This rule no longer exists.","Denna regel finns inte längre."
"Customer is a New Buyer: %s","Kund är en ny köpare: %s"
"New Rule","Ny regel"
"Yes","Ja"
"Active","Aktiv"
"Edit Rule","Ändra regel"
"Save Rule","Spara regel"
"Catalog Price Rule","Prisregel för katalog"
"The rules have been applied.","Reglerna har tillämpats."
"Customer Registered: %s","Kunden registrerade sig: %s"
"NOT LOGGED IN","EJ INLOGGAD"
"Websites","Webbplatser"
"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%s Prisregler för katalog baserade på ""%s"" attribut har inaktiverats."
"Description","Beskrivning"
"Rule Information","Information om regel"
"Attribute Set","Attributmängd"
"Inactive","Inaktiv"
"The rule has been deleted.","Regeln har tagits bort."
"Customer Groups","Kundgrupper"
"Unable to find a rule to delete.","Kan inte hitta en regel att ta bort."
"Date To","Datum till"
"Product Attribute","Produktattribut"
"General Information","Allmän information"
"Start at: %s","Börja vid: %s"
"Conditions (leave blank for all products)","Villkor (lämna tom för alla produkter)"
"An error occurred while saving the rule data. Please review the log and try again.","Ett fel uppstod när regeln togs bort. Vänligen se över loggen och försök igen."
"To Date","Till datum"
"Date From","Datum från"
"Options","Alternativ"
"Add New Rule","Lägg till ny regel"
"Edit Rule '%s'","Ändra regel '%s'"
"Save and Apply","Spara och tillämpa"
"Catalog Price Rules","Prisregler för katalog"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Dessa regler har ändrats men inte tillämpade. Vänligen klicka på Tillämpa regler för att se påverkan i katalogen."
"Date Expire","Utgångsdatum"
"No","Nej"
"Wrong rule specified.","Fel regel angett."
"Actions","Åtgärder"
"Description: %s","Beskrivning: %s"
"Rule Name","Regelnamn"
"Catalog","Katalog"
"The rule has been saved.","Regeln har sparats."
"Conditions Combination","Kombinera villkor"
"Name: %s","Namn: %s"
"Update product's %s %s: %s","Uppdatera produkter %s %s: %s"
"Delete Rule","Ta bort regel"
"Promotions","Marknadsföring"
"Apply Rules","Tillämpa regler"
"From Date","Från datum"
"Stop Further Rules Processing","Stoppa ytterligare regler från att behandlas"
"Conditions","Villkor"
"Unable to apply rules.","Kan inte tillämpa regler."
"Date Start","Startdatum"
"Priority","Prioritet"
"Enable Discount to Subproducts", "Tillämpa rabatt på underliggande produkter"
