"Shipping Method","Leveranssätt"
"Password","Lösenord"
"Terms and conditions","Köpvillkor"
"Display number of items in cart","Visa antal artiklar i varukorg"
"Recently added item(s)","Nyligen tillagda produkter"
"Cannot add item to the shopping cart.","Det går inte att lägga till produkten i varukorgen."
"Get a Quote","Beräkna"
"City","Stad"
"Update Qty &amp; Addresses","Uppdatera antal &amp; adresser"
"Save in address book","Spara i adressboken"
"Move to Wishlist","Flytta till önskelista"
"Shopping Cart is Empty","Din varukorg är tom"
"Coupon code ""%s"" is not valid.","Kupongkod ""%s"" är inte giltig."
"Payment Methods After Checkout Button","Betalningssätt efter utcheckningsknapp"
"Already registered?","Redan registrerad?"
"Items","Produkter"
"Content","Innehåll"
"Add New Condition","Lägg till ny förutsättning"
"Your Checkout Progress","Steg i kassan"
"Send Payment Failed Email Copy To","Skicka emailkopia betalning misslyckades"
"New Condition","Nytt villkor"
"Status","Status"
"Default Billing","Förvald fakturaadress"
"Please agree to all the terms and conditions before placing the order.","Vänligen godkänn villkoren innan du beställer."
"Back to Billing Information","Tillbaka till faktureringsuppgifter"
"Enabled","Aktiverad"
"Checkout","Till kassan"
"The condition has been saved.","Villkoret har sparats."
"Edit Terms and Conditions","Ändra köpvillkor"
"Register with us for future convenience:","Om du registrerar dig kan du handla smidigare i framtiden:"
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"osCommerce Orders","osCommerce Order"
"Shipping Address","Leveransadress"
"Other Items in Your Order","Andra produkter i din order"
"Telephone","Telefon"
"Display Shopping Cart Sidebar","Visa miniatyrvarukorg"
"Product","Produkt"
"Billing Information - %s","Faktura information - %s"
"Forgot your password?","Glömt ditt lösenord?"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"Unable to set Payment Method.","Kan inte ställa in betalningsmetod."
"Sales","Försäljning"
"Maximum Display Recently Added Item(s)","Maximal visning av nyligen tillagda produkter"
"Shopping Cart Sidebar Extra Actions","Sidovarukorg, extra val"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Payment Information","Information om betalning"
"Address","Adress"
"Register and save time!","Registrera dig och spara tid!"
"Cannot apply the coupon code.","Det går inte att använda kupongkoden."
"Incl. Tax","Inkl moms"
"Condition Name","Villkorsnamn"
"%s was added to your shopping cart.","%s placerades i din varukorg."
"You have no items in your shopping cart.","Du har inga produkter i din varukorg."
"Select a shipping address from your address book or enter a new address.","Välj en leveranssadress från din adressbok eller ange en ny adress."
"My Cart Link","Länk till min varukorg"
"Sorry, no quotes are available for this order at this time.","Tyvärr är det för närvarande inte möjligt att begära offert för denna beställning."
"Data saving problem","Ett fel uppstod när data skulle sparas"
"Please agree to all Terms and Conditions before placing the order.","Vänligen acceptera köpvillkoren för att kunna beställa."
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna produkt från varukorgen?"
"Enter your coupon code if you have one.","Ange din rabattkod om du har någon."
"Checkbox Text","Checkbox text"
"The product could not be found.","Produkten hittades inte."
"Edit Items","Ändra artiklar"
"After Adding a Product Redirect to Shopping Cart","Efter att en produkt har lagts till, omdirigera till varukorg"
"Your recurring payment profiles:","Dina återkommande betalningsprofiler:"
"Ship to this address","Leverera till denna adress"
"One Page Checkout Failure","Utcheckningsfel"
"Subtotal","Summa (inkl.moms)"
"Discount Codes","Rabattkoder"
"Please select shipping methods for all addresses","Vänligen välj leveranssätt för alla adresser"
"Billing Address","Fakturaadress"
"Fax","Fax"
"Checkout as Guest","Genomför köp som gäst"
"Total","Summa"
"Review Order - %s","Granska beställning - %s"
"Login/Registration Before","Logga in / registrering före"
"Shipping selection is not applicable.","Frakt val är inte tillämplig."
"Continue to Billing Information","Fortsätt till fakturainformation"
"Payment Failed Emails","Betalning misslyckades epost"
"The condition has been deleted","Villkoret har sparats"
"Edit Billing Address","Ändra fakturaadress"
"Qty","Antal"
"Cannot remove the item.","Kan inte ta bort produkten."
"Grouped Product Image","Bild för grupperad produkt"
"Company","Företag"
"Use Billing Address","Använd fakturaadress"
"Select Shipping Method","Välj leveranssätt"
"My Cart (%s item)","Min varukorg (%s artikel)"
"Some of the requested products are unavailable.","Några av de efterfrågade produkterna är inte tillgängliga."
"Create Billing Address","Skapa fakturaadress"
"Payment profile # %s: ""%s"".","Betalningsprofil # %s: ""%s""."
"An error occurred while saving this condition.","Ett fel uppstod medan villkoret sparades."
"Enable Onepage Checkout","Aktivera Onepage kassan"
"Continue","Nästa"
"Add to Wishlist","Lägg till önskelista"
"Your order has been received","Din beställning är mottagen"
"Separate by "","".","Avgränsa med "
"Order #","Order #"
"Street Address %s","Gatuadress %s"
"Disabled","Inaktiverad"
"Please select shipping address for applicable items","Vänligen välj leveransadress"
"Back to Shopping Cart","Tillbaka till varukorgen."
"Excl. Tax","Exkl moms"
"Checkout Section","Kassadel"
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod när din beställning skulle behandlas. Vänligen kontakta oss eller försök igen senare."
"Review Order","Granska beställning"
"Change","Ändra"
"Loading next step...","Laddar nästa steg..."
"Shipping method has not been selected yet","Något leveranssätt har inte valts än"
"Payment Failed Email Reciever","Betalning misslyckades epostmottagare"
"Text","Text"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Quote Lifetime (days)","Offertens varaktighet (dagar)"
"Cannot add the item to shopping cart","Det går inte att lägga produkten i varukorgen."
"ID","Id"
"Close","Stäng"
"Update Shopping Cart","Uppdatera varukorgen"
"Select Addresses","Välj adresser"
"Multishipping Checkout Shipping Address Selection","Val av multipla leveransadresser "
"Show Content as","Visa innehåll som"
"Coupon code ""%s"" was applied.","Kupongkoden ""%s"" har applicerats."
"Payment Methods Before Checkout Button","Betalningssätt före utcheckningsknapp"
"An error occurred in the process of payment","Ett fel uppstod i betalningsprocessen"
"Edit Your Cart","Ändra i din varukorg"
"Items Before","Artiklar före"
"Content Height","Innehåll höjd"
"Add to Cart","Lägg till i varukorg"
"Your billing agreement # is: %s.","Din faktureringsavtal # är: %s."
"Send To","Skicka till"
"One Page Checkout","Snabbkassa"
"Store View","Butiksvy"
"Delete Condition","Ta bort villkor"
"Please log in below:","Vänligen logga in nedan:"
"Back to Select Addresses","Tillbaka till val av adresser"
"Enable Terms and Conditions","Aktivera köpvillkor"
"Checkout Method","Välj köpmetod"
"There are <a href=""%s"">%s items</a> in your cart.","Det finns <a href=""%s"">%s produkter</a> i din varukorg."
"Remove Item","Ta bort artikel"
"Cart Api","Varukorg Api"
"Shipping Methods","Leveranssätt"
"Overview Items After","Översikt artiklar efter"
"Terms and Conditions Information","Information om köpvillkor"
"Display item quantities","Visa antal artiklar"
"Proceed to Checkout","Gå till kassan"
"Cancel Coupon","Använd inte kupong"
"Grand Total:","Totalsumma:"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klicka <a href=""%s"" onclick=""this.target=\'_blank\'"">här</a> för att skriva ut en kopia av din orderbekräftelse."
"Unit Price","Enhetspris"
"Select Address","Välj adress"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalt antal för leverans till flera adresser är %s"
"Shopping Cart Sidebar","Miniatyrvarukorg"
"Country","Land"
"Payment Method","Betalningssätt"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Register","Registrera"
"Cannot update shopping cart.","Det går inte att uppdatera varukorgen."
"Item not found or already ordered","Inga artiklar funna eller redan beställda"
"Confirm Password","Bekräfta lösenord"
"Add New Address","Lägg till ny adress"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en bekräftelse skickat till din e-postadress med detaljerna för din beställning och information om hur du kan spåra försändelsen."
"Send Payment Failed Email Copy Method","Skicka emailkopia betalning misslyckades metod"
"New Address","Ny adress"
"State/Province","Region"
"Create shopping cart","Skapa varukorg"
"Please agree to all Terms and Conditions before placing the orders.","Vänligen acceptera köpvillkoren för att kunna beställa."
"Back","Tillbaka"
"Enter a New Address","Ange en ny adress"
"Checkout Conditions","Kassavillkor"
"The onepage checkout is disabled.","Snabbkassan är inaktiverad."
"Edit Shipping Address","Ändra leveransadress"
"Zip/Postal Code","Postnummer"
"Shipping Information","Information om leverans"
"Order Success","Beställningen har lagts"
"Terms and Conditions","Köpvillkor"
"Display Cart Summary","Visa sammanfattning av varukorg"
