"United Parcel Service XML","XML för United Parcel Service"
"Displayed Error Message","Visat felmeddelande"
"Show Method if Not Applicable","Visa metod om inte valbart"
"Weight Unit","Viktenhet"
"Variable","Variabel"
"Regular","Vanligt"
"Regular Pickup","Vanlig avhämtning"
"Free Method","Valfri metod"
"Please enter the package weight","Vänligen skriv in paketvikten"
"Tracking XML URL","URL för spårning-XML"
"Gateway XML URL","URL för gateway-XML"
"UPS Type","UPS-typ"
"Third Party","Tredjepart"
"Empty response","Tomt svar"
"Title","Titel"
"Allowed Methods","Tillåtna metoder"
"Response is in the wrong format","Svaret är i fel format"
"Size","Storlek"
"Large","Stor"
"Sort Order","Sortering"
"Business Service Center","Servicecenter"
"Rectangular","Rektangulärt"
"Parcel Post","Paketpost"
"Packaging","Paketering"
"Your Packaging","Paketering"
"Parcel","Paket"
"Package","Paket"
"Unknown error","Okänt fel"
"Invalid USPS XML code type: %s","Ogiltig USPS XML-kod för typen: %s"
"Invalid USPS XML code for type %s: %s","Ogiltig USPS XML-kod för typen %s: %s"
"Invalid UPS CGI code type: %s","Ogiltig UPS CGI-kod för typen: %s"
"Invalid UPS CGI code for type %s: %s","Ogiltig UPS CGI-kod för typen %s: %s"
"Invalid FedEx XML code type: %s","Ogiltig FedEx XML-kod för typen: %s"
"Invalid FedEx XML code for type %s: %s","Ogiltig FedEx XML-kod för typen %s: %s"
"No","Nej"
"Next Afternoon","Nästa dag"
"Receiver","Mottagare"
"Minimum Order Amount for Free Shipping","Minsta beställningssumma för fraktfritt"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximal paketvikt (vänligen kontakta din speditör för att få reda på maxvikten för försändelser)"
"Machinable","Maskinhanteringsbar"
"Ground","Markleverans"
"Access License Number","Licensnummer"
"Delivered","Levererad"
"Ship to Specific Countries","Leverera till specifika länder"
"Ship to Applicable Countries","Leverera till godkända länder"
"Shipment Type","Leveranstyp"
"Shipping Key (International)","Leveransnyckel (internationellt)"
"Shipping Key","Leveransnyckel"
"Shipment picked up","Leverans har hämtats"
"Shipment Dutiable","Leverans förtullbar"
"Password","Lösenord"
"Account Number","Kontonummer"
"Account ID","Konto-ID"
"Cannot retrieve shipping rates","Kan inte hämta fraktavgifter"
"Yes","Ja"
"Drop Box","In- och utlämningsställe"
"Non-rectangular","Icke-rektangulärt"
"Home Delivery","Hemleverans"
"Handling Applied","Hanteringsavgift pålagd"
"Handling Fee","Hanteringsavgift"
"Gateway URL","Gateway-URL"
"Free Shipping with Minimum Order Amount","Fraktfritt vid minsta beställningssumma"
"Shipment is not available.","Frakt är inte tillgängligt."
"3 Day Freight","Frakt 3 dagar"
"2 Day Freight","Frakt 2 dagar"
"1 Day Freight","Frakt 1 dag"
"Error #%s: %s","Fel #%s: %s"
"Error #%s : %s (%s)","Fel #%s : %s (%s)"
"FedEx Tube","FedEx-tub"
"FedEx Box","FedEx-paket"
"FedEx Envelope","FedEx-brev"
"FedEx Pak","FedEx större brev (Pak)"
"FedEx 25kg Box","FedEx 25kg paket"
"FedEx 10kg Box","FedEx 10kg paket"
"Flat","Fast pris"
"Origin of the Shipment","Försändelsens ursprung"
"Express Mail","Expressbrev"
"Express 10:30 AM","Express kl. 10:30"
"Unable to retrieve tracking","Det gick inte att hämta data för spårning"
"There is no available method for selected shipping address.","Det finns ingen leveranssätt för vald adress."
"Destination Type","Destinationstyp"
"Bound Printed Matter","Bundet material"
"Letter","Brev"
"Oversize","Bred last"
"Library","Bibliotek"
"Shipment Duty Payment Type","Betalningssätt för tullavgift"
"Order","Beställning"
"Package Description","Beskrivning av paket"
"Calculate Handling Fee","Beräkna hanteringsavgift"
"Request Courier","Begär avhämtning"
"Sender","Avsändare"
"Dropoff","Avlämning"
"Pickup Method","Avhämtningsmetod"
"UserId","Användar-ID"
"User ID","Användar ID"
"All Services","Alla tjänster"
"Enabled","Aktiverad"
"Access ID","Åtkomst-ID"
"2Day","2 dagar"
"Europe First Priority","1:a-klassbrev (Prioritaire)"
"First-Class","1:a klass"
