" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s""รหัสคูปองไม่ถูกต้อง"
"%s order(s) successfully put on hold","%s รายการ(s) หยุดทำงานแล้ว"
"%s order(s) succesfully canceled","%s order(s) succesfully canceled"
"%s order(s) succesfully released from holding status","%s order(s) succesfully released from holding status"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Requires Tax Based On Shipping Origin</span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>"
"Add Product","Add Product"
"Apply Tax after Discount","Apply Tax after Discount"
"Gift Certificate","บัตรกำนัล"
"Save in address book","บันทึกในสมุดที่อยู่"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","บาง รายการ มีปริมาณมากเกินปริมาณที่อนุญาติ. กรุณาเลือกปริมาณที่ต่ำเพื่อจะ checkout.."
"Partial","บางส่วน"
"Paid","ชำระแล้ว"
"Customer Name","ชื่อลูกค้า"
"Product Name","ชื่อสินค้า"
"Refresh","ฟื้นฟู"
"Print","พิมพ์"
"Print Credit Memos","พิมพ์ ใบลดหนี้"
"Print Invoice","พิมพ์ ใบส่งสินค้า"
"Print Packingslips","พิมพ์ Packingslips"
"Print Shipment","พิมพ์การขนส่งสินค้า"
"Print Refund","พิมพ์การคืนเงิน"
"Print All Refunds","พิมพ์การคืนเงินทั้งหมด"
"Print All","พิมพ์ทั้งหมด"
"Print All Invoices","พิมพ์ทุก ใบส่งสินค้า"
"Print All Shipments","พิมพ์ทุกการขนส่ง"
"Print Order","พิมพ์คำสั่งซื้อ"
"Print Order # %s","พิมพ์คำสั่งซื้อ # %s"
"Print Invoices","พิมพ์ใบส่งสินค้า"
"Please select a store","กรุณาเลือกร้านค้า"
"Please select a customer","กรุณาเลือกลูกค้า"
"Please select products to add","กรุณาเลือกสินค้าที่จะเพิ่ม"
"Returned","กลับ"
"Back to My Orders","กลับไปยังคำสั่งซื้อของฉัน"
"Backordered","กลับไปคำสั่งซื้อ"
"Customer Group","กลุ่มลูกค้า"
"Action","การกระทำ"
"Actions","การกระทำ"
"Hold action is not available","การระงับไม่สามารถใช้ได้"
"Newsletter Subscription","การสมัครสมาชิกจดหมายข่าว"
"Shipment","การส่งสินค้า"
"Shipments","การส่งสินค้า"
"Shipping","การส่งสินค้า"
"Shipment #","การส่งสินค้า #"
"Shipment #%s","การส่งสินค้า #%s"
"New Shipment","การส่งสินค้าใหม่"
