"Add Sitemap","Add Sitemap"
"Sitemap was successfully saved","บันทึกแผนผังเว็บไซต์แล้ว"
"Filename","ชื่อไฟล์"
"Priority must be between 0 and 1","การให้ความสำคัญต้องอยู่ระหว่าง 0 และ 1"
"Store View","มุมมองร้านค้า"
"Hourly","รายชั่วโมง"
"Daily","รายวัน"
"Weekly","รายสัปดาห์"
"Yearly","รายปี"
"Monthly","รายเดือน"
"Sitemap was successfully deleted","ลบแผนผังเว็บไซต์แล้ว"
"Link for Google","ลิงค์สำหรับ Google"
"Error Email Recipient","ผู้รับอีเมล์ความผิดพลาด"
"Last Time Generated","ถูกสร้างล่าสุด"
"Error Email Sender","ความผิดพลาดผู้ส่งอีเมล์"
"Frequency","ความถี่"
"Sitemap generate Warnings","คำเตือนการสร้างแผนผังเว็บไซต์"
"Categories Options","ตัวเลือก ประเภท"
"Products Options","ตัวเลือกสินค้า"
"CMS Pages Options","ตัวเลือกหน้า CMS"
"Generation Settings","ตั้งค่ารุ่น"
"Edit Sitemap","แก้ไข แผนผังเว็บไซต์"
"Sitemap","แผนผังเว็บไซต์"
"New Sitemap","แผนผังเว็บไซต์ใหม่"
"Priority","ให้ความสำคัญ"
"Unable to find a sitemap to delete","ไม่พบแผนผังเว็บไซต์ที่ต้องการลบ"
"This sitemap no longer exists","ไม่มีแผนผังเว็บไซต์นี้"
"Never","ไม่เคย"
"Start Time","เวลาที่เริ่ม"
"Always","เสมอ"
"Error Email Template","เทมเพลตอีเมล์ความผิดพลาด"
"Enabled","เปิดการใช้งานแล้ว"
"Google Sitemap","Google Sitemap"
"Google Sitemaps","Google Sitemaps"
"ID","ID"
"Manage Google Sitemaps","Manage Google Sitemaps"
"Path","Path"
