"-- Please Select --","-- Please Select --"
"Save Rate","บันทึกอัตรา"
"Tax rate was successfully saved","บันทึกอัตราภาษีแล้ว"
"Tax rule was successfully saved","บันทึกอัตราภาษีแล้ว"
"Save Rule","บันทึกข้อกำหนด"
"Save Class","บันทึกคลาส"
"Tax class was successfully saved","บันทึกคลาสภาษีแล้ว"
"Class Name","ชื่อคลาส"
"Please select State","กรุณาเลือกรัฐ"
"Please select Country","กรุณาเลือกประเทศ"
"Please select County","กรุณาเลือกประเทศ"
"Back","กลับ"
"Tax","ภาษี"
"Excl. Tax","ยกเว้น. ภาษี"
"Sales","ยอดขาย"
"Inc. Tax","รวม. ภาษี"
"Incl. Tax","รวม. ภาษี"
"Zip/Post Code","รหัสไปรษณีย์"
"State","รัฐ"
"State/Region","รัฐ/ภูมิภาค"
"Delete Rate","ลบอัตรา"
"Tax rate was successfully deleted","ลบอัตราภาษีแล้ว"
"Delete Rule","ลบข้อกำหนด"
"Tax rule was successfully deleted","ลบข้อกำหนดภาษีแล้ว"
"Delete Class","ลบคลาส"
"Tax class was successfully deleted","ลบคลาสภาษีแล้ว"
"Export Tax Rates","ส่งออกอัตราภาษี"
"Tax Rate","อัตราภาษี"
"New Tax Rate","อัตราภาษีใหม่"
"Manage Tax Rates","จัดการอัตราภาษี"
"Manage Tax Rules","จัดการข้อกำหนดภาษี"
"Manage Customer Tax Classes","จัดการคลาสภาษีลูกค้า"
"Manage Product Tax Classes","จัดการคลาสภาษีสินค้า"
"Tax Rules","ข้อกำหนดภาษี"
"New Rule","ข้อกำหนดใหม่"
"Invalid data for tax rate calculation","ข้อมูลสำหรับคำนวณอัตราภาษีไม่ถูกต้อง"
"Tax Rate Information","ข้อมูลอัตราภาษี"
"Incorrect rate Data","ข้อมูลอัตราไม่ถูกต้อง"
"Tax Rule Information","ข้อมูลข้อกำหนดภาษี"
"Customer Tax Class Information","ข้อมูลคลาสภาษีลูกค้า"
"Product Tax Class Information","ข้อมูลคลาสภาษีสินค้า"
"Customer Tax Class","คลาสภาษีลูกค้า"
"Customer Tax Classes","คลาสภาษีลูกค้า"
"Product Tax Class","คลาสภาษีสินค้า"
"Product Tax Classes","คลาสภาษีสินค้า"
"New Class","คลาสใหม่"
"Invalid file format upload attempt","ความพยายามอัพโหลดไฟล์ที่ รูปแบบ ไม่ถูกต้อง"
"Invalid file upload attempt","ความพยายามอัพโหลดไฟล์ไม่ถูกต้อง"
"Error while saving this rate. Please try again later.","ความผิดพลาดขณะบันทึกอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax rule. Please try again later.","ความผิดพลาดขณะบันทึกข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง."
"Error while saving this tax class. Please try again later.","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while saving this tax class. Class with the same name ","ความผิดพลาดขณะบันทึกคลาสภาษีนี้ มีคลาสที่มีชื่อเดียวกัน "
"Error while deleting this rate. Please try again later.","ความผิดพลาดขณะลบอัตรานี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this rate. Incorrect rate ID","ความผิดพลาดขณะลบอัตรานี้ รหัส อัตราไม่ถูกต้อง"
"Error while deleting this tax rule. Please try again later.","ความผิดพลาดขณะลบข้อกำหนดภาษีนี้ กรุณาลองใหม่อีกครั้ง"
"Error while deleting this class. Please try again later.","ความผิดพลาดขณะลบคลาสนี้ กรุณาลองใหม่อีกครั้ง"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้?"
"You cannot delete this tax class as it is used for %d customer groups.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d กลุ่มลูกค้า"
"You cannot delete this tax class as it is used for %d products.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d สินค้า"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้ในข้อกำหนดภาษี คุณต้องลบข้อกำหนดที่คลาสถูกใช้ก่อน"
"Reset","ตั้งค่าใหม่"
"Country","ประเทศ"
"County","ประเทศ"
"Import / Export Tax Rates","นำเข้า/ส่งออก อัตราภาษี"
"Import Tax Rates","นำเข้าอัตราภาษี"
"Tax rate was successfully imported","นำเข้าอัตราภาษีแล้ว"
"Edit Tax Rate","แก้ไขอัตราภาษี"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Class","แก้ไขคลาส"
"Edit Class '%s'","แก้ไขคลาส '%s'"
"This rule no longer exists","ไม่มีข้อกำหนดนี้"
"This class no longer exists","ไม่มีคลาสนี้"
"Add New Tax Rate","เพิ่มอัตราภาษีใหม่"
"Add New Tax Rule","เพิ่มข้อกำหนดภาษีใหม่"
"Add New Class","เพิ่มคลาสใหม่"
"CSV","CSV"
"Error while saving this tax rule. This product tax class and customer tax class combination","Error while saving this tax rule. This product tax class and customer tax class combination"
"ID","ID"
"NONE","NONE"
"One of row has invalid country code.","One of row has invalid country code."
"Tax Rates","Tax Rates"
"Tax Rates Import / Export","Tax Rates Import / Export"
"XML","XML"
