" was not delivered nor scanned"," was not delivered nor scanned"
"Package","บรรจุภัณฑ์"
"Packaging","บรรจุภัณฑ์"
"FedEx Envelope","บรรจุภัณฑ์ของ FedEx"
"Your Packaging","บรรจุภัณฑ์ของคุณ"
"Second Day Service","บริการวันที่สอง"
"United Parcel Service","บริการห่อพัสดุ"
"United Parcel Service XML","บริการห่อพัสดุ XML"
"Third Party","บุคคลที่ 3"
"Express Saver","ช่วยเหลือด่วน"
"Next Afternoon","ช่วงบ่ายวันถัดไป"
"Parcel","พัสดุ"
"Parcel Post","พัสดุไปรษณีย์"
"Please enter the package weight","กรุณาใส่น้ำหนักบรรจุภัณฑ์"
"FedEx Box","กล่อง FedEx"
"Flat Rate Box","กล่องอัตราคงที่"
"Shipment is not available.","การส่งสินค้ายังไม่พร้อม."
"Shipment Dutiable","การส่งสินค้าอาจมีภาษีได้"
"International Express","การส่งด่วนระหว่างประเทศ"
"Handling fee","การจัดการค่าธรรมเนียม"
"Response is in the wrong format","การตอบกลับมาในรูปแบบที่ไม่ถูกต้อง"
"Empty response","การตอบกลับว่าง"
"Standard Overnight","มาตรฐานตลอดคืน"
"User ID","รหัสผู้ใช้"
"UserId","รหัสผู้ใช้"
"Password","รหัสผ่าน"
"International First","ระหว่างประเทศก่อน"
"Shipment picked up","รับสินค้า"
"Regular Pickup","รับสินค้าตามปกติ"
"Package Description","รายละเอียดบรรจุภัณฑ์"
"Pickup method","วิธีการรับ"
"Allowed methods","วิธีที่อนุญาต"
"Free method","วิธีให้บริการฟรี"
"Business Service Center","ศูนย์บริการธุรกิจ"
"2Day","สองวัน"
"International Priority","สิทธิพิเศษระหว่างประเทศ"
"Intl Priority Freight","สิทธิพิเศษค่าขนส่งระหว่างประเทศ"
"Priority Overnight","สิทธิพิเศษตลอดทั้งคืน"
"1 Day Freight","สินค้าที่ขนส่ง 1 วัน"
"2 Day Freight","สินค้าที่ขนส่ง 2 วัน"
"3 Day Freight","สินค้าที่ขนส่ง 3 วัน"
"Rectangular","สี่เหลิ่ยมมุมฉาก"
"Station","สถานี"
"Delivered","ส่งสินค้า"
"Free shipping with minimum order amount","ส่งสินค้าฟรีกับการสั่งจำนวนน้อย"
"Ship to Specific countries","ส่งสินค้าไปยังประเทศที่ระบุ"
"Ship to applicable countries","ส่งสินค้าไปยังประเทศที่สามารถนำไปใช้ได้"
"Account number","หมายเลข บัญชี"
"Title","หัวข้อ"
"Order","ออเดอร์"
"Express Mail","อีเมลล์ด่วน"
"Receiver","ผู้รับ"
"Sender","ผู้ส่ง"
"Home Delivery","จัดส่งถึงบ้าน"
"Sort order","จัดเรียงรายการ"
"Minimum order amount for free shipping","จำนวนออเดอร์ขั้นต่ำสำหรับการจัดส่งสินค้าให้ฟรี"
