"sku","amazon_ean"
"CBR0040001","0011381021522"
"BOVE00468","0026102066126"
"BOVE00281","0026102078211"
"BOVA01206","0026102104071"
"BOVA01207","0026102104156"
"BOVA01396","0026102113677"
"BOVA01397","0026102113684"
"BOVA01395","0026102113691"
"BOVA01199","0026102142356"
"LAR7505020","0026102149539"
"BOVA01193","0026102168066"
"BOVA01203","0026102237205"
"BOVE00072","0026102254271"
"BOVE00070","0026102255674"
"BOVE00069","0026102255704"
"BOVE00720","0026102363416"
"BOVE00721","0026102363584"
"BOVE00722","0026102363669"
"BOVA01187","0026102418826"
"LB7512008","0026102432921"
"BOVE00115","0026102493502"
"BOVA01388","0026102510247"
"BOVE00469","0026102626627"
"BOVE00730","0026102703618"
"BOVE00112","0026102716922"
"BOVE00109","0026102716953"
"BOVE00113","0026102716977"
"LARQUA7515019","0026102752012"
"BOVE00064","0026102760314"
"BOVE00065","0026102761403"
"BOVE00228","0026102761410"
"BOVE00108","0026102761700"
"BOVE00076","0026102763131"
"BOVE00079","0026102763261"
"BOVE00077","0026102763285"
"BOVE00074","0026102763308"
"BOVA01387","0026102845486"
"BOVE00517","0026102990810"
"CLB0010001","0032622012826"
"CCS0030005","00883314194524"
"LBXX1983102","0615905797247"
"69161","0837655100515"
"GD000491","3057190004919"
"GD000611","3057190006111"
"GD001288","3057190012884"
"GD001289","3057190012891"
"GD097725","3057190977251"
"GD097741","3057190977411"
"GP105805","3057191058058"
"GP105805","3057191058058"
"GD111918","3057191119186"
"GD114433","3057191144331"
"GD114434","3057191144348"
"GD143775","3057191437754"
"GD000489","3057191437846"
"143794","3057191437945"
"GD143795","3057191437952"
"GD145993","3057191459930"
"GD146021","3057191460219"
"GD146022","3057191460226"
"GD146025","3057191460257"
"GD154550","3057191545503"
"GD154552","3057191545527"
"GD154563","3057191545633"
"GD154566","3057191545664"
"GD154599","3057191545992"
"GD154600","3057191546005"
"GD154601","3057191546012"
"GD154604","3057191546043"
"GD159482","3057191594822"
"GDIS159490","3057191594907"
"GD159500","3057191595003"
"GD159501","3057191595010"
"GD159504","3057191595041"
"GD163585","3057191635853"
"GD166286","3057191662866"
"GD166289","3057191662897"
"GD177897","3057191778970"
"GD177898","3057191778987"
"GDISS183394","3057191833945"
"GDISS183396","3057191833969"
"GD186290","3057191862907"
"BOVA00758","3198246162938"
"FREV001119","3198246381223"
"FREV001116","3198246392939"
"FREV001114","3198246406803"
"FREV001120","3198246406810"
"FREV001830","3198246409439"
"FREV003510","3198246419094"
"FREV007445","3198246428799"
"FREV007573","3198246432024"
"FREV007571","3198246432031"
"FREV007446","3198246432055"
"FREV007422","3198246432185"
"FREV007426","3198246432192"
"FREV007427","3198246432208"
"FREV006509","3198246432215"
"FREV006511","3198246434707"
"FREV006659","3198246435711"
"R643618","3198246436183"
"FREV008339","3198246440951"
"FREV008319","3198246443143"
"FREV008315","3198246443150"
"FREV008317","3198246443167"
"FREV008316","3198246443174"
"FREV008338","3198246443280"
"FREV008336","3198246443310"
"FREV008337","3198246443327"
"R644495","3198246444959"
"R644640","3198246446403"
"FREV009956","3198246447110"
"FREV010492","3198246447134"
"FREV010532","3198246447721"
"FREV009957","3198246447738"
"R644817","3198246448179"
"R645013","3198246450134"
"R645014","3198246450141"
"LLRFID0106","3232870060403"
"LLRMAZ1012-01","3232870110122"
"BOVA00573","3232870110320"
"ACOL240600","3232870111358"
"LLRKAI0071","3232870117206"
"LLRKAI0069","3232870117220"
"LLRKAI0068","3232870117237"
"LLRKAI0067","3232870117275"
"LLRKAI0070","3232870117299"
"LLRSAN0049","3232870140396"
"LLRSAN0050","3232870140402"
"LLRSUR0087","3232870141232"
"LLRSAV4174-01","3232870141744"
"LLRSAV4180-01","3232870141805"
"LLRSAV4182-01","3232870141829"
"LLRDUO002","3232870143793"
"BOVE00717","3232870151125"
"CLRCRA0001","3232870151132"
"BOVE00718","3232870151163"
"CLRCRA0002","3232870151170"
" LLRPAN0004","3232870151422"
"CLRCRA0003","3232870151439"
"BOVE00719","3232870151446"
"CLRCRA0004","3232870151453"
"LLRBUD0002","3232870151460"
"LLRBUD0001","3232870151705"
"BOVE00303","3232870155048"
"BOVE00302","3232870155055"
"LLRMEL0122","3232870155345"
"LLRBOC0082","3232870157004"
"LLRBOC0083","3232870157011"
"LLRBOC0081","3232870157028"
"BOVE00658","3232870157233"
"BOVE00659","3232870157240"
"BOBB00236","3232870157349"
"BOVE00628","3232870157356"
"LLRVEN0088","3232870157646"
"LLRVEN0089","3232870157653"
"LLRABS5999-01","3232870159992"
"BOVE00495","3232870160004"
"BOVE00492","3232870160011"
"BOVE00496","3232870160028"
"LLRPER0064","3232870160035"
"BOVE00493","3232870160059"
"BOVE00497","3232870160066"
"BOVE00494","3232870160080"
"LLRRIC6011-01","3232870160110"
"LLRCAP6012-01","3232870160127"
"LLRCAP6013-01","3232870160134"
