"sku","couleur"
"ME00011","Inox"
"ME00505","Inox"
"ME00500","Inox"
"ME00015","Inox"
"ME00494","Inox"
"ME00495","Inox"
"ME00496","Inox"
"ME00497","Inox"
"ME00498","Inox"
"ME00499","Inox"
"ME00501","Inox"
"ME00502","Inox"
"ME00503","Inox"
"ME00504","Inox"
"ME00506","Inox"
"ME00033","Inox"
"ME00507","Inox"
"ME00508","Inox"
"ME00509","Inox"
"ME00510","Inox"
"ME00511","Inox"
"ME00512","Inox"
"ME00513","Inox"
"ME00514","Inox"
"ME00515","Inox"
"ME00516","Inox"
"ME00517","Inox"
"ME00051","Inox"
"ME00518","Inox"
"ME00523","Inox"
"ME00524","Inox"
"ME00060","Inox"
"ME00525","Inox"
"ME00526","Inox"
"ME00527","Inox"
"ME00528","Inox"
"ME00529","Inox"
"ME00530","Inox"
"ME00531","Inox"
"ME00532","Inox"
"ME00533","Inox"
"ME00534","Inox"
"ME00535","Inox"
"ME00079","Inox"
"ME00536","Inox"
"ME00538","Inox"
"ME00539","Inox"
"ME00540","Inox"
"ME00541","Inox"
"ME00542","Inox"
"ME00543","Inox"
"ME00544","Inox"
"ME00545","Inox"
"ME00546","Inox"
"ME00096","Inox"
"ME00547","Inox"
"ME00548","Inox"
"ME00549","Inox"
"ME00550","Inox"
"ME00551","Inox"
"ME00552","Inox"
"ME00553","Inox"
"ME00554","Inox"
"ME00555","Inox"
"ME00556","Inox"
"ME00557","Inox"
"ME00117O","Inox"
"ME00558","Inox"
"ME00560","Inox"
"ME00561","Inox"
"ME00562","Inox"
"ME00563","Inox"
"ME00564","Inox"
"ME00565","Inox"
"ME00566","Inox"
"ME00567","Inox"
"ME00278","Orange"
"ME00280","Rouge"
"ME00282","Vert"
"ME00284","Bleu"
"ME00286","Violet"
"ME00288","Transparent"
"ME00290","Gris clair"
"ME00292","Gris foncé"
"ME00294","Blanc opaque"
"ME00296","Noir opaque"
"ME00298","Rouge opaque"
"BOAL01000","Inox"
"BOAL01001","Inox"
"BOAL01002","Inox"
"BOAL01003","Inox"
"BOAL01004","Inox"
"BOAL01005","Inox"
"BOAL01006","Inox"
"BOAL01007","Inox"
"BOAL01008","Inox"
"BOAL01009","Inox"
"BOAL01010","Inox"
"BOAL01011","Inox"
"BOAL01012","Inox"
"BOAL01013","Inox"
"BOAL01014","Inox"
"BOAL01015","Inox"
"BOAL01016","Inox"
"BOAL01017","Inox"
"BOAL01045","Inox"
"BOAL01046","Inox"
"BOAL01047","Inox"
"BOAL01048","Inox"
"BOAL01049","Inox"
"BOAL01050","Inox"
"BOAL01051","Inox"
"BOAL01052","Inox"
"BOAL01053","Inox"
"BOAL01063","Inox"
"BOAL01064","Inox"
"BOAL01065","Inox"
"BOAL01066","Inox"
"BOAL01067","Inox"
"BOAL01068","Inox"
"BOAL01069","Inox"
"BOAL01070","Inox"
"BOAL01071","Inox"
"BOAL01072","Inox"
"BOAL01073","Inox"
"BOAL01074","Inox"
"BOAL01075","Inox"
"BOAL01076","Inox"
"BOAL01077","Inox"
"BOAL01078","Inox"
"BOAL01079","Inox"
"BOAL01080","Inox"
"BOAL01081","Inox"
"BOAL01082","Inox"
"BOAL01083","Inox"
"BOAL01129","Inox"
"BOAL01130","Inox"
"BOAL01131","Inox"
"BOAL01132","Inox"
"BOAL01133","Inox"
"BOAL01134","Inox"
"BOAL01135","Inox"
"BOAL01136","Inox"
"BOAL01137","Inox"
"BOAL01138","Inox"
"BOAL01139","Inox"
"BOAL01140","Inox"
"BOAL01141","Inox"
"BOAL01142","Inox"
"BOAL01143","Inox"
"BOAL01144","Inox"
"BOAL01372","Inox"
"BOAL01373","Inox"
"BOAL01374","Inox"
