"sku","couleur"
"BOVA00191","Blanche"
"BOVA00192","Blanche"
"BOVA00193","Blanche"
"BOVA00194","Blanche"
"BOVA00195","Blanche"
"BOVA00196","Blanche"
"BOVA00197","Blanche"
"BOVA00198","Blanche"
"BOVA00199","Blanche"
"BOVA00200","Blanche"
"BOVA00201","Blanche"
"BOVA00202","Blanche"
"BOVA00203","Blanche"
"BOVA00204","Blanche"
"BOVA00205","Blanche"
"BOVA00206","Blanche"
"BOVA00207","Blanche"
"BOVA00208","Blanche"
"BOVA00209","Blanche"
"BOVA00210","Blanche"
"BOVA00211","Blanche"
"BOVA00212","Blanche"
"BOVA00213","Blanche"
"BOVA00214","Blanche"
"BOVA00215","Blanche"
"BOVA00216","Blanche"
"BOVA00217","Blanche"
"BOVA00218","Blanche"
"BOVA00219","Blanche"
"BOVA00221","Blanche"
"BOVA00222","Blanche"
"BOVA00223","Blanche"
"BOVA00224","Blanche"
"BOVA00225","Blanche"
"BOVA00226","Blanche"
"BOVA00227","Blanche"
"BOVA00228","Blanche"
"BOVA00229","Blanche"
"BOVA00230","Blanche"
"BOVA00231","Blanche"
"BOVA00232","Blanc"
"BOVA00233","Blanc"
"BOVA00234","Blanc"
"BOVA00235","Blanc"
"BOVA00236","Blanc"
"BOVA00237","Blanc"
"BOVA00238","Blanche"
"BOVA00239","Blanche"
"BOVA00240","Blanche"
"BOVA00241","Blanche"
"BOVA00242","Blanche"
"BOVA00243","Blanche"
"BOVA00244","Blanche"
"BOVA00245","Blanche"
"BOVA00246","Blanche"
"BOVA00247","Blanche"
"BOVA00248","Blanche"
"BOVA00249","Blanche"
"BOVA00250","Blanche"
"BOVA00251","Blanche"
"BOVA00252","Blanche"
"BOVA00253","Blanche"
"BOVA00254","Blanche"
"BOVA00255","Blanche"
"BOVA00256","Blanc"
"BOVA00257","Blanc"
"BOVA00258","Blanc"
"BOVA00259","Blanc"
"BOVA00260","Blanc"
"BOVA00261","Blanc"
"BOVA00262","Blanc"
"BOVA00263","Blanc"
"BOVA00264","Blanc"
"BOVA00265","Blanc"
"BOVA00266","Blanc"
"BOVA00267","Blanc"
"BOVA00268","Blanc"
"BOVA00269","Blanc"
"BOVA00270","Blanc"
"BOVA00271","Blanc"
"BOVA00272","Blanc"
"BOVA00273","Blanc"
"BOVA00277","Blanche"
"BOVA00278","Blanche"
"BOVA00279","Blanche"
"BOVA00280","Blanche"
"BOVA00281","Blanc"
"BOVA00282","Blanc"
"BOVA00283","Blanche"
"BOVA00284","Blanche"
"BOVA00285","Blanche"
"BOVA00286","Blanche"
"BOVA00287","Blanche"
"BOVA00288","Blanc"
"BOVA00289","Blanc"
"BOVA00290","Blanc"
"BOVA00291","Blanche"
"BOVA00292","Blanche"
"BOVA00293","Blanche"
"BOVA00294","Blanche"
"BOVA00295","Blanche"
"BOVA00296","Blanche"
"BOVA00297","Blanche"
"BOVA00298","Blanche"
"BOVA00299","Blanche"
"BOVA00300","Blanche"
"BOVA00301","Blanche"
"BOVA00302","Blanche"
"BOVA00303","Blanche"
"BOVA00304","Blanche"
"BOVA00305","Blanc"
"BOVA00306","Blanc"
"BOVA00307","Blanche"
"BOVA00308","Blanche"
"BOVA00309","Blanche"
"BOVA00310","Blanche"
"BOVA00311","Blanche"
"BOVA00312","Blanche"
"BOVA00313","Blanche"
"BOVA00314","Blanc"
"BOVA00315","Blanche"
"BOVA00316","Blanche"
"BOVA00317","Noir"
"BOVA00318","Brun"
"BOVA00319","Noir"
"BOVA00320","Brun"
"BOVA00321","Noir"
"BOVA00322","Brun"
"BOVA00323","Blanche"
"BOVA00324","Blanche"
"BOVA00325","Blanc"
"BOVA00326","Blanche"
"BOVA00327","Blanc"
"BOVA00328","Blanc"
"BOVA00329","Blanche"
"BOVA00330","Blanche"
"BOVA00332","Blanc"
"BOVA00333","Brun"
"BOVA00334","Blanche"
"BOVA00335","Blanche"
"BOVA00336","Blanche"
"BOVA00337","Blanche"
"BOVA00338","Blanche"
"BOVA00339","Blanche"
"BOVA00340","Blanche"
"BOVA00341","Blanche"
"BOVA00342","Blanche"
"BOVA00343","Blanche"
"BOVA00344","Blanche"
"BOVA00345","Blanche"
"BOVA00346","Blanche"
"BOVA00347","Blanche"
"BOVA00348","Blanche"
"BOVA00349","Blanche"
"BOVA00350","Blanche"
"BOVA00351","Blanche"
"BOVA00352","Blanche"
"BOVA00353","Blanche"
"BOVA00354","Blanche"
"BOVA00355","Blanche"
"BOVA00356","Blanche"
"BOVA00357","Blanche"
"BOVA00358","Blanche"
"BOVA00359","Blanche"
"BOVA00360","Blanche"
"BOVA00361","Blanche"
"BOVA00362","Blanche"
"BOVA00363","Blanche"
"BOVA00364","Blanche"
"BOVA00365","Blanche"
"BOVA00366","Blanche"
"BOVA00367","Blanche"
"BOVA00368","Blanche"
"BOVA00369","Blanche"
"BOVA00370","Blanche"
"BOVA00371","Blanche"
"BOVA00372","Blanche"
"BOVA00373","Blanche"
"BOVA00374","Blanche"
"BOVA00375","Blanche"
"BOVA00376","Blanche"
"BOVA00377","Blanche"
"BOVA00379","Blanche"
"BOVA00380","Noir"
"BOVA00381","Blanc"
"BOVA00382","Blanc"
"BOVA00384","Noir"
"BOVA00385","Blanc"
"BOVA00386","Blanche"
"BOVA00387","Blanche"
"BOVA00388","Noire"
"BOVA00389","Noire"
"BOVA00390","Blanche"
"BOVA00391","Blanc"
"BOVA00392","Blanc"
"BOVA00393","Noir"
"BOVA00394","Blanche"
"BOVA00395","Blanche"
"BOVA00396","Blanche"
"BOVA00397","Blanc"
"BOVA00398","Blanche"
"BOVA00399","Blanche"
"BOVA00400","Blanc"
"BOVA00401","Blanc"
"BOVA00402","Blanc"
"BOVA00403","Blanc"
"BOVA00404","Blanche"
"BOVA00405","Noire/Blanche"
"BOVA00406","Blanche"
"BOVA00407","Blanc"
"BOVA00408","Noir"
"BOVA00409","Noir"
"BOVA00410","Blanc"
"BOVA00411","Noir"
"BOVA00412","Blanc"
"BOVA00413","Blanche"
"BOVA00414","Blanche"
"BOVA00415","Blanche"
"BOVA00416","Blanche"
"BOVA00417","Blanche"
"BOVA00421","Blanche"
"BOVA00422","Blanche"
"BOVA00423","Blanche"
"BOVA00424","Blanche"
"BOVA00425","Blanche"
"BOVA00426","Blanche"
"BOVA00427","Blanche"
"BOVA00428","Blanche"
"BOVA00429","Blanche"
"BOVA00430","Blanche"
"BOVA00431","Brun/Blanc"
"BOVA00433","Blanche"
"BOVA00434","Blanche"
"BOVA00435","Blanche"
"BOVA00436","Blanche"
"BOVA00437","Blanche"
"BOVA00438","Blanche"
"BOVA00439","Blanche"
"BOVA00440","Blanche"
"BOVA00441","Blanche"
"BOVA00442","Blanche"
"BOVA00443","Blanche"
"BOVA00444","Blanche"
"BOVA00445","Blanche"
"BOVA00446","Blanche"
"BOVA00447","Blanche"
"BOVA00448","Blanche"
"BOVA00449","Blanche"
"BOVA00450","Blanche"
"BOVA00451","Blanche"
"BOVA00452","Café"
"BOVA00453","Crème"
"BOVA00454","Café"
"BOVA00455","Crème"
"BOVA00456","Café"
"BOVA00457","Café"
"BOVA00458","Café"
"BOVA00459","Crème"
"BOVA00460","Café"
"BOVA00461","Café"
"BOVA00462","Crème"
"BOVA00463","Crème"
"BOVA00464","Café"
"BOVA00465","Café"
"BOVA00466","Crème"
"BOVA00467","Crème"
"BOVA00468","Café"
"BOVA00481","Blanche"
"BOVA00482","Blanche"
"BOVA00483","Blanche"
"BOVA00484","Blanche"
"BOVA00485","Blanche"
"BOVA00486","Blanche"
