sku,price
CADEAU100,100
VOL00001,19.15
VOL00002,19.15
VOL00003,41.72
VOL00004,41.72
VOL00005,128.68
VOL00006,80.18
VOL00007,53.43
VOL00008,58.53
VOL00009,19.15
VOL00010,81.86
VOL00011,33.29
VOL00012,29.22
VOL00013,41.72
VOL00014,12.12
VOL00016,8.28
VOL00018,8.28
VOL00020,8.28
VOL00022,8.28
VOL00024,8.28
VOL00026,8.28
VOL00028,8.28
VOL00030,8.28
VOL00031,7.73
VOL00032,7.73
VOL00033,7.73
VOL00034,7.73
VOL00035,7.73
VOL00036,7.73
VOL00037,7.73
VOL00038,7.73
VOL00047,16.66
VOL00048,16.66
VOL00049,16.66
VOL00050,16.66
VOL00051,16.66
VOL00052,16.66
VOL00053,16.66
VOL00054,16.66
VOL00055,11.62
VOL00056,7.11
VOL00057,15.8
VOL00059,14.13
VOL00061,14.13
VOL00063,14.97
VOL00065,12.46
VOL00067,12.96
VOL00069,12.96
VOL00071,12.96
VOL00073,12.96
VOL00075,12.96
VOL00077,12.96
VOL00079,12.96
VOL00081,12.96
VOL00082,16.66
VOL00083,16.66
VOL00084,16.66
VOL00085,16.66
VOL00086,16.66
VOL00087,16.66
VOL00088,16.66
VOL00089,16.66
VOL00090,30.1
VOL00091,30.1
VOL00092,30.1
VOL00093,30.1
VOL00094,30.1
VOL00095,30.1
VOL00096,30.1
VOL00097,30.1
VOL00098,30.1
VOL00099,30.1
VOL00100,30.1
VOL00101,30.1
VOL00102,30.1
VOL00103,58.53
VOL00104,58.53
VOL00105,58.53
VOL00106,58.53
VOL00107,58.53
VOL00109,7.11
VOL00111,7.11
VOL00113,7.11
VOL00115,7.11
VOL00117,7.11
VOL00119,7.11
VOL00121,7.11
VOL00123,7.11
VOL00125,6.65
VOL00127,6.65
BA00001,30.85
BA00002,33.29
BA00003,15.8
BA00004,16.66
BA00005,14.13
BA00006,14.13
BA00007,15.8
BA00008,16.66
BA00009,9.95
BA00010,11.62
BA00011,7.94
BA00012,7.94
BA00013,19.15
BA00014,19.15
BA00016,15.8
BA00018,16.66
BA00020,18.31
BA00021,12.46
BA00022,12.46
BA00023,16.66
BA00024,16.66
BA00025,11.62
BA00026,12.46
BA00027,25
BA00028,25
BA00029,25
BA00030,25
BA00031,20.82
BA00032,21.7
BA00033,41.72
BA00034,45.99
BA00035,35.54
BA00036,41.72
BA00037,30.85
BA00038,30.52
BA00039,16.66
BA00040,18.31
BA00041,11.62
BA00042,11.62
BA00043,35.54
BA00044,37.54
BA00045,33.29
BA00046,35.54
BOBB00259,5.43
BOBB00260,7.15
BOBB00261,6.6
BOBB00262,6.65
PBOU44118-30,4.96
PBOU44118-35,4.96
PBOU44118-40,4.96
PBOU44118-50,4.96
BOBB00009,14.63
LB6010230,4.1
BOBB00014,8.28
PLIM41699-00,4.75
GP435.24,54.58
BOBB00018,19.15
BOBB00019,6.65
PDECA41699-03,1.25
